Age,Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Existing_EMI,Num_Credit_Cards,Late_Payments,Collateral_Available,Loan_Purpose,DTI_Ratio,Approved
38,153789,816,287199,12,Self-employed,24209,9,1,No,Auto,0.15741698040822166,0
24,79676,727,811019,24,Salaried,3981,1,1,No,Education,0.04996485767357799,0
45,179024,838,810129,24,Self-employed,21153,9,2,No,Auto,0.1181573420323532,0
34,193532,459,685329,60,Self-employed,5247,3,3,Yes,Personal,0.0271117954653494,0
29,110397,448,690473,12,Self-employed,10553,2,1,Yes,Auto,0.09559136570740147,0
46,92847,529,227164,60,Salaried,20811,6,0,No,Personal,0.2241429448447446,0
22,113607,366,506887,36,Self-employed,29845,7,2,No,Home,0.2627038826832854,0
40,169521,680,584638,12,Salaried,6135,1,1,No,Education,0.03619020652308563,0
48,184608,357,801518,12,Self-employed,5573,9,3,No,Personal,0.030188290864967934,0
27,84077,558,937291,36,Salaried,13731,6,1,Yes,Personal,0.1633145806819939,0
28,58258,641,563313,36,Self-employed,7189,7,4,No,Auto,0.12339936146108689,0
55,199374,429,835858,60,Salaried,14541,5,0,Yes,Home,0.0729332811700623,0
34,179937,471,118487,60,Salaried,43646,5,2,Yes,Personal,0.24256267471392765,0
37,157717,508,198694,36,Salaried,11087,9,4,Yes,Home,0.07029679742830514,0
56,139771,653,173853,60,Salaried,46435,0,3,Yes,Home,0.3322219916864013,0
24,58000,770,365261,36,Salaried,2776,3,4,No,Auto,0.04786206896551724,0
22,46737,415,285062,12,Salaried,42079,0,4,No,Personal,0.9003359222885509,0
26,31485,563,501610,12,Self-employed,27564,3,3,No,Auto,0.8754645069080514,0
24,58565,741,283077,24,Self-employed,28835,1,4,No,Education,0.49235891744215826,0
49,176594,847,937516,12,Salaried,7697,4,2,Yes,Education,0.043585852293962425,0
38,139614,752,73782,36,Salaried,14629,9,1,Yes,Personal,0.10478175541134843,0
46,85155,776,559492,60,Salaried,8386,8,4,Yes,Home,0.09847924373201808,0
54,72487,586,864886,24,Salaried,17046,9,2,No,Personal,0.23515940789382925,0
30,149948,602,904336,60,Self-employed,8044,2,1,Yes,Personal,0.05364526369141302,0
56,32342,610,704224,36,Salaried,9615,7,1,Yes,Education,0.29729144765320636,0
34,60806,507,458808,12,Self-employed,47802,2,4,Yes,Education,0.7861395257047002,0
51,68770,745,203245,24,Self-employed,5060,5,2,Yes,Home,0.07357859531772576,0
35,98623,354,172258,36,Salaried,10900,3,4,No,Home,0.11052188637538911,0
28,123177,311,685956,24,Salaried,5581,7,3,Yes,Personal,0.04530878329558278,0
34,151026,699,504418,24,Self-employed,34782,5,1,Yes,Auto,0.2303047157443089,0
43,95629,814,532616,12,Self-employed,20173,7,4,No,Personal,0.21095065304457852,0
41,140993,841,436328,36,Salaried,12997,0,1,No,Home,0.0921818813699971,0
36,146944,536,556581,60,Salaried,43403,5,2,No,Auto,0.29537102569686413,0
38,125947,578,473966,24,Salaried,46416,0,0,Yes,Education,0.368535971480067,0
44,46399,647,328710,24,Self-employed,7148,0,4,Yes,Home,0.15405504428974762,0
46,148177,403,712550,60,Self-employed,18748,7,4,Yes,Home,0.12652435938101056,0
45,129575,816,612621,36,Salaried,14022,6,1,Yes,Auto,0.1082153193131391,0
49,130904,547,434073,24,Self-employed,20013,2,2,No,Home,0.15288302878445273,0
35,50678,663,786265,24,Self-employed,38687,5,3,Yes,Home,0.7633884525829748,0
21,96218,620,663859,24,Salaried,15886,8,2,Yes,Home,0.16510424244943772,0
45,83230,585,170263,36,Salaried,25256,6,4,No,Home,0.30344827586206896,0
27,94055,448,969093,36,Self-employed,30005,2,3,No,Home,0.31901546967200045,0
29,182552,383,599523,60,Self-employed,6638,5,2,No,Home,0.03636224199132302,0
44,92258,705,50159,36,Salaried,37419,3,0,Yes,Home,0.4055908430705196,0
21,59986,755,717505,36,Salaried,33377,2,1,Yes,Home,0.5564131630713833,0
28,175232,460,212993,12,Salaried,40708,8,2,Yes,Education,0.2323091672753835,0
44,105595,759,417003,60,Salaried,43116,9,2,Yes,Home,0.40831478763199014,0
31,121358,849,197309,24,Salaried,36634,1,0,Yes,Education,0.30186720282140445,1
37,84929,799,157507,36,Self-employed,16755,0,4,No,Education,0.19728243591706013,0
28,93506,808,975748,24,Self-employed,23382,1,1,No,Personal,0.25005881975488203,0
55,54911,780,64743,24,Self-employed,49767,6,2,Yes,Personal,0.906321137841234,0
55,107127,413,802462,12,Self-employed,22394,9,3,Yes,Education,0.20904160482418063,0
53,182893,660,96101,36,Salaried,2253,0,2,Yes,Education,0.01231867813420962,0
25,133453,640,292717,60,Salaried,37710,5,1,Yes,Home,0.28257139217552246,0
59,104458,748,695822,36,Salaried,45098,6,2,Yes,Personal,0.431733328227613,0
48,32175,479,396371,24,Self-employed,864,8,0,No,Auto,0.026853146853146853,0
27,139235,706,280604,60,Self-employed,34036,7,2,No,Personal,0.24445003052393435,0
29,74771,495,237450,36,Self-employed,40222,5,2,No,Education,0.5379358307365155,0
28,147157,765,907558,24,Salaried,13666,2,3,Yes,Education,0.09286680212290276,0
32,141300,610,892503,24,Self-employed,20955,7,0,Yes,Home,0.14830148619957537,0
54,106925,561,776481,12,Salaried,45138,6,0,No,Home,0.42214636427402386,0
53,86358,718,386907,12,Salaried,37997,2,2,No,Personal,0.4399939785543899,0
43,168399,705,537030,12,Salaried,16309,8,3,Yes,Home,0.09684736845230672,0
44,67057,442,809710,24,Salaried,4054,1,2,No,Auto,0.06045602994467393,0
57,26150,641,455453,36,Salaried,935,2,2,No,Auto,0.03575525812619503,0
55,24425,615,721009,12,Salaried,44940,1,1,Yes,Home,1.8399181166837257,0
42,36032,400,218785,36,Self-employed,22778,0,1,No,Auto,0.6321603019538188,0
47,22198,543,254535,12,Salaried,43298,3,3,No,Auto,1.9505360843319217,0
55,171151,789,750769,60,Salaried,48328,4,4,No,Personal,0.2823705382965919,0
21,187292,311,229838,60,Self-employed,48924,5,1,Yes,Auto,0.26121777758793757,0
55,192946,538,620442,12,Salaried,16709,4,4,No,Education,0.08659935940625875,0
57,164931,341,319160,24,Self-employed,9726,0,0,No,Education,0.05897011477526966,0
34,182491,728,522779,12,Self-employed,40542,2,1,No,Personal,0.22215890098689797,0
23,138865,457,491904,12,Self-employed,20245,0,1,Yes,Home,0.145789075721024,0
21,159777,515,926110,24,Salaried,34753,4,3,Yes,Personal,0.2175094037314507,0
25,193952,761,948488,60,Salaried,14252,4,4,No,Home,0.07348209866358686,0
46,43236,433,628526,36,Self-employed,21316,5,1,Yes,Home,0.49301508002590433,0
34,107955,366,370752,12,Salaried,37371,7,1,No,Home,0.3461720161178269,0
59,123145,306,663369,24,Salaried,19162,9,3,Yes,Home,0.15560518088432335,0
47,166430,825,297644,12,Self-employed,15960,0,3,Yes,Home,0.09589617256504236,0
29,114914,372,999401,24,Self-employed,30791,3,4,No,Personal,0.26794820474441755,0
35,122870,698,887393,36,Salaried,42230,9,0,No,Home,0.3436965898917555,1
35,136243,704,249775,36,Self-employed,25216,0,0,No,Auto,0.18508106838516475,1
46,34596,429,863349,60,Self-employed,32467,8,2,Yes,Auto,0.9384610937680656,0
33,184644,765,990240,24,Self-employed,46934,6,1,No,Home,0.25418643443599576,0
52,152351,505,864422,24,Salaried,7754,6,4,Yes,Auto,0.050895629172109144,0
59,131496,565,112551,60,Salaried,47014,4,1,Yes,Education,0.3575317880391799,0
52,150273,836,784983,60,Salaried,4078,6,4,No,Personal,0.027137276822849082,0
24,158155,552,727800,24,Self-employed,12853,1,4,Yes,Personal,0.08126837596029211,0
50,140674,588,216277,60,Salaried,4042,3,4,No,Home,0.028733099222315425,0
57,140307,463,130811,36,Self-employed,49052,6,1,Yes,Home,0.3496047951990991,0
43,168843,394,829128,12,Salaried,14389,2,3,No,Education,0.08522118180795177,0
59,181047,409,891535,36,Salaried,30425,1,1,Yes,Home,0.1680502852850365,0
35,196720,635,514028,60,Self-employed,2575,9,4,Yes,Auto,0.013089670597803985,0
49,199357,537,418266,24,Salaried,39522,1,2,No,Education,0.19824736527937317,0
56,39063,680,284104,24,Self-employed,28179,0,0,Yes,Auto,0.7213731664234698,0
33,87642,735,593296,36,Salaried,34754,4,4,No,Personal,0.3965450354852696,0
52,110093,782,252346,24,Salaried,18624,5,2,Yes,Auto,0.1691660686873825,0
27,188671,324,606690,60,Self-employed,20350,5,3,Yes,Personal,0.10785971346947862,0
42,179601,416,234456,36,Self-employed,26681,8,4,Yes,Auto,0.14855707930356735,0
48,55954,781,834282,24,Self-employed,23988,3,2,No,Personal,0.428709296922472,0
22,47856,691,449009,12,Salaried,15470,0,4,No,Home,0.32326145101972587,0
26,22573,836,546043,12,Salaried,24704,5,1,No,Auto,1.0944048199176006,0
48,55367,378,186643,60,Salaried,38736,4,2,No,Personal,0.6996225188289054,0
48,119608,472,540083,24,Self-employed,29377,9,1,No,Auto,0.24561066149421443,0
40,80774,311,983713,60,Self-employed,28572,5,1,Yes,Education,0.3537276846510016,0
50,43752,427,163550,36,Self-employed,7493,2,2,Yes,Home,0.17126074236606326,0
31,75029,391,534146,12,Salaried,4103,1,0,No,Personal,0.054685521598315315,0
48,168757,842,141218,36,Salaried,34844,5,2,Yes,Education,0.2064743980990418,0
45,150282,831,183296,24,Self-employed,2994,0,0,Yes,Auto,0.01992254561424522,1
59,71693,746,549909,60,Salaried,3744,6,4,Yes,Education,0.05222267166947959,0
53,136739,689,568767,60,Self-employed,47234,6,4,Yes,Auto,0.3454318080430601,0
21,75961,342,229767,60,Salaried,47291,9,2,No,Home,0.6225694764418583,0
47,146678,553,957211,36,Salaried,27332,6,4,Yes,Education,0.18634014644322938,0
33,94532,429,441858,12,Self-employed,5594,9,3,No,Home,0.05917572885372149,0
23,101994,359,815348,36,Salaried,40299,0,1,No,Personal,0.39511147714571443,0
59,76133,766,290016,36,Salaried,7371,3,1,Yes,Auto,0.09681741163490208,0
26,81268,586,82441,24,Self-employed,47315,6,0,No,Auto,0.5822094797460255,0
28,189315,816,288038,24,Self-employed,18028,8,4,Yes,Home,0.09522753083485197,0
47,51653,766,744489,24,Salaried,35912,4,0,Yes,Home,0.6952548738698624,0
29,177729,644,805612,12,Self-employed,13990,1,1,Yes,Personal,0.07871534752347675,0
57,191024,681,898800,12,Salaried,46851,6,1,No,Education,0.24526237540832566,0
53,173252,552,666410,24,Self-employed,16626,9,4,No,Auto,0.09596426015284094,0
44,141829,355,94760,24,Salaried,20469,0,3,No,Auto,0.14432168315365687,0
35,148377,762,335622,12,Salaried,40722,6,3,Yes,Personal,0.27444954406680283,0
52,21622,756,964313,60,Self-employed,40037,5,4,Yes,Personal,1.8516788456202016,0
52,68756,382,908286,12,Salaried,7130,6,4,Yes,Home,0.10370004072371866,0
44,60809,398,930662,12,Salaried,6828,9,0,No,Home,0.11228601029452877,0
32,36725,448,397860,12,Self-employed,41612,2,4,Yes,Education,1.133070115724983,0
59,71226,628,717540,24,Self-employed,46988,2,3,Yes,Personal,0.6597029174739562,0
22,101182,455,148538,60,Salaried,39099,6,4,No,Education,0.38642248621296277,0
23,49402,489,589660,12,Self-employed,46165,1,0,No,Personal,0.9344763369904052,0
57,24263,793,866228,24,Self-employed,17883,0,0,No,Auto,0.7370481803569221,0
37,197900,562,561511,36,Salaried,43059,8,0,Yes,Personal,0.21757958564931784,0
22,67924,379,271035,36,Salaried,18542,8,0,Yes,Personal,0.27298156763441495,0
22,94182,699,935258,12,Self-employed,42932,6,2,Yes,Auto,0.45584081884011807,0
48,162736,559,432736,36,Self-employed,10450,6,4,No,Personal,0.0642144331924098,0
43,55737,400,405779,60,Self-employed,20423,2,1,No,Education,0.3664172811597323,0
57,121332,658,685310,36,Salaried,2035,9,4,No,Home,0.01677216233145419,0
52,109563,679,628328,36,Salaried,44231,1,2,No,Home,0.40370380511669085,0
53,180445,520,911789,60,Salaried,40745,6,0,Yes,Education,0.22580287622267173,0
21,187469,719,776728,12,Salaried,17241,8,2,Yes,Auto,0.09196720524460045,0
39,148575,423,652644,12,Salaried,23154,0,3,Yes,Personal,0.15584048460373548,0
22,121371,721,328355,60,Salaried,25625,3,3,Yes,Education,0.2111295119921563,0
46,58709,530,417570,60,Salaried,44950,5,4,Yes,Home,0.7656407024476656,0
52,170322,362,317986,60,Self-employed,33066,6,4,Yes,Home,0.1941381618346426,0
26,41172,784,506331,36,Self-employed,33691,9,1,Yes,Education,0.8182988438744778,0
52,31555,782,903284,60,Salaried,13331,6,1,Yes,Home,0.42246870543495485,0
24,73276,818,437881,24,Salaried,20690,9,3,No,Education,0.2823571155630766,0
31,77492,454,358112,36,Salaried,19183,1,0,No,Home,0.24754813400092912,0
37,109599,391,853940,12,Self-employed,39346,3,2,Yes,Education,0.35899962590899553,0
58,175834,825,203077,12,Salaried,4875,4,1,No,Personal,0.02772501336487824,0
44,31046,754,104575,12,Self-employed,12254,0,1,Yes,Personal,0.3947046318366295,0
25,136021,809,523958,36,Self-employed,28621,0,0,Yes,Personal,0.21041603869990663,1
54,179841,482,724331,24,Self-employed,10905,9,0,No,Personal,0.060636895924733515,0
26,174222,685,468815,60,Self-employed,46121,2,4,Yes,Home,0.26472546521105256,0
42,24853,704,530808,60,Self-employed,15882,9,2,Yes,Auto,0.6390375407395485,0
31,140900,545,641202,12,Salaried,19041,2,0,Yes,Education,0.13513839602555003,0
36,172864,770,823422,12,Salaried,29098,7,1,Yes,Auto,0.1683288596815994,0
53,79129,722,641343,36,Self-employed,42431,8,1,Yes,Home,0.5362256568388328,0
29,134130,364,661985,24,Salaried,33709,0,3,Yes,Home,0.25131588757175877,0
26,183059,312,680527,60,Self-employed,34675,1,0,Yes,Auto,0.1894198045438902,0
36,166922,512,285469,36,Self-employed,4837,9,4,No,Auto,0.028977606307137464,0
49,163184,541,173106,60,Salaried,46448,1,2,No,Home,0.2846357486028042,0
23,141789,792,841787,12,Salaried,24489,3,4,Yes,Home,0.17271438546008505,0
40,175130,512,890552,60,Salaried,17627,1,1,No,Education,0.10065094501227659,0
56,196492,637,517835,24,Salaried,5696,6,4,Yes,Personal,0.028988457545345358,0
39,58890,472,350486,24,Salaried,48994,8,1,Yes,Personal,0.8319578875870267,0
46,86017,463,52257,12,Self-employed,13543,6,1,Yes,Education,0.1574456212144111,0
23,198376,764,339508,24,Salaried,12615,5,1,Yes,Auto,0.06359136185828931,0
39,183993,796,730332,24,Salaried,1466,9,1,No,Home,0.007967694423157402,0
40,152596,694,161715,36,Salaried,30771,0,1,No,Auto,0.2016501087839786,0
52,120424,607,76654,60,Self-employed,18350,9,3,No,Personal,0.15237826346907593,0
27,35048,482,786129,12,Salaried,375,8,4,No,Personal,0.010699611960739557,0
53,186183,809,393567,12,Self-employed,33030,4,3,Yes,Auto,0.17740610044955768,0
59,188976,845,341464,12,Salaried,20746,4,3,No,Personal,0.10978113622893912,0
38,74912,526,595096,12,Salaried,22886,5,0,Yes,Home,0.30550512601452373,0
21,54008,735,626677,12,Self-employed,44348,8,0,Yes,Education,0.8211376092430751,0
31,151132,721,538906,24,Salaried,42904,7,0,No,Auto,0.2838842865839134,1
48,103559,320,168581,36,Salaried,32651,7,2,Yes,Home,0.3152888691470563,0
45,75337,696,177927,12,Self-employed,7833,7,0,No,Home,0.10397281548243227,1
43,130616,404,84773,36,Salaried,1893,0,4,No,Personal,0.014492864580143322,0
51,33350,491,756528,36,Self-employed,30573,0,3,No,Home,0.9167316341829086,0
50,44354,316,470963,24,Self-employed,31371,7,4,No,Auto,0.7072868286963971,0
55,65186,419,388540,12,Self-employed,40874,4,0,No,Home,0.6270364802258154,0
27,48145,692,551590,24,Self-employed,11826,8,2,Yes,Education,0.24563298369508776,0
36,185092,724,419836,12,Self-employed,34420,1,2,No,Home,0.18596157586497525,0
46,106123,428,264764,24,Salaried,21924,8,3,No,Home,0.20659046578027385,0
22,40581,429,631793,36,Salaried,33367,7,4,Yes,Education,0.822232079051773,0
21,108929,328,922328,12,Salaried,21199,8,1,No,Home,0.1946130048012926,0
32,43051,396,592423,60,Self-employed,25868,3,4,No,Home,0.600868737079278,0
25,71474,309,665175,36,Self-employed,8792,0,0,Yes,Personal,0.12300976578895823,0
57,111748,541,172118,60,Self-employed,20597,0,1,Yes,Auto,0.18431649783441315,0
52,145995,531,359521,36,Self-employed,36405,4,2,No,Personal,0.2493578547210521,0
29,89626,583,204626,24,Salaried,32696,1,3,Yes,Auto,0.36480485573382726,0
55,26960,499,898923,12,Salaried,43123,7,3,No,Education,1.5995178041543028,0
39,186844,378,295739,36,Self-employed,15989,9,2,Yes,Education,0.08557406178416219,0
36,172592,472,894715,24,Self-employed,28931,4,0,No,Education,0.16762654120700843,0
23,56408,766,528356,12,Salaried,9290,4,2,No,Auto,0.1646929513544178,0
40,114006,715,329067,12,Self-employed,38367,1,0,No,Auto,0.3365349192147782,1
44,77134,748,359735,36,Self-employed,14342,6,1,Yes,Auto,0.18593616304094174,0
53,171563,386,636549,12,Self-employed,24941,7,2,No,Education,0.1453751683055204,0
44,152413,400,366480,36,Salaried,13945,9,0,Yes,Auto,0.09149481999566966,0
31,195695,307,386227,12,Salaried,10762,0,1,No,Home,0.05499374025907663,0
28,110327,499,635236,60,Self-employed,30133,1,2,No,Personal,0.27312443916720297,0
56,151410,804,290891,24,Salaried,47080,9,3,No,Education,0.31094379499372565,0
58,163326,386,214074,60,Self-employed,40150,3,2,No,Personal,0.24582736367755287,0
40,31344,342,523314,36,Self-employed,27052,4,4,No,Home,0.8630678917815212,0
55,152822,684,559452,60,Salaried,41750,1,2,Yes,Auto,0.2731936501289081,0
45,87957,734,338816,36,Self-employed,19953,0,4,Yes,Personal,0.22684948327023433,0
55,125423,707,840645,12,Self-employed,40475,8,1,Yes,Home,0.32270795627596216,0
45,78053,782,191365,12,Salaried,17130,0,2,No,Home,0.21946626010531306,0
49,166968,316,499076,36,Self-employed,31086,3,1,No,Personal,0.18617938766709788,0
38,97454,447,112507,60,Self-employed,4633,1,1,Yes,Education,0.047540378024503865,0
38,110600,576,107134,12,Self-employed,17304,3,0,No,Personal,0.15645569620253164,0
22,142732,531,183172,24,Salaried,42037,7,1,No,Education,0.294516996889275,0
55,179007,665,291225,12,Self-employed,32284,7,1,No,Auto,0.18035048908701895,0
36,57641,527,243069,24,Salaried,46546,8,2,Yes,Education,0.807515483770233,0
56,49711,735,864604,60,Self-employed,7008,4,2,Yes,Auto,0.14097483454366236,0
53,90342,698,856564,24,Self-employed,48291,6,3,Yes,Personal,0.5345354320249718,0
24,126896,510,823221,24,Self-employed,27405,2,0,Yes,Auto,0.21596425419240953,0
53,163254,690,854631,24,Self-employed,36386,9,1,Yes,Home,0.22287968441814596,0
34,107833,798,610897,24,Salaried,25373,3,0,No,Auto,0.23529902719946585,1
41,76276,839,224037,12,Salaried,20827,9,4,No,Education,0.27304787875609626,0
40,39541,790,713376,24,Self-employed,33040,8,1,No,Education,0.8355883766217344,0
28,114457,741,482995,12,Self-employed,13007,9,0,No,Education,0.11364093065518055,1
27,64813,560,546013,24,Self-employed,18157,9,3,Yes,Auto,0.28014441547220464,0
23,188270,649,344025,36,Self-employed,32157,0,3,Yes,Education,0.17080257077601319,0
37,159892,651,787954,60,Self-employed,35315,1,1,No,Education,0.22086783578915767,0
53,44070,819,860904,24,Self-employed,35932,4,4,Yes,Home,0.8153392330383481,0
32,162194,619,550098,36,Self-employed,21164,2,3,No,Auto,0.13048571463802608,0
42,100559,437,757173,24,Self-employed,14414,1,3,No,Home,0.14333873646317088,0
42,61786,849,805728,24,Salaried,14327,0,4,No,Education,0.2318810086427346,0
50,157809,667,307803,24,Salaried,48344,9,0,No,Education,0.3063450120081871,1
58,56062,519,741381,36,Salaried,946,2,3,Yes,Education,0.016874175020513003,0
58,71571,636,366275,60,Self-employed,14693,0,2,No,Auto,0.20529264646295287,0
28,45510,522,729447,36,Self-employed,27241,0,3,Yes,Personal,0.5985717424741815,0
47,39426,659,62828,60,Self-employed,49658,0,0,No,Education,1.259524171866281,0
47,57265,628,933096,24,Salaried,30254,7,0,No,Education,0.5283157251375186,0
54,168922,762,566835,12,Self-employed,15540,2,1,No,Education,0.09199512200897456,0
41,86150,681,706761,24,Salaried,6719,0,2,No,Education,0.0779918746372606,0
50,107312,468,851625,60,Self-employed,41203,6,0,Yes,Auto,0.38395519606381395,0
53,109613,516,273461,36,Salaried,25081,9,4,No,Personal,0.2288141005172744,0
48,94910,677,488080,24,Salaried,11350,2,2,Yes,Personal,0.11958697713623433,0
53,72375,418,463523,36,Salaried,36358,7,2,No,Personal,0.5023557858376512,0
25,141826,489,414662,36,Self-employed,32021,3,4,No,Education,0.2257766559023028,0
39,55435,669,331755,36,Salaried,42832,3,3,No,Education,0.7726526562640931,0
24,116443,448,749151,24,Self-employed,28369,4,4,Yes,Personal,0.24362993052394735,0
55,154055,787,979454,36,Self-employed,31728,5,4,No,Personal,0.20595241959040603,0
37,171734,673,388384,36,Self-employed,17576,6,3,No,Education,0.10234432319750311,0
48,43510,459,289719,24,Self-employed,29001,3,3,No,Education,0.6665364284072627,0
50,192070,650,782763,36,Self-employed,17848,7,3,No,Home,0.09292445462591764,0
49,114071,587,839177,24,Salaried,390,5,3,No,Home,0.0034189233021539216,0
26,26640,587,891675,60,Self-employed,21999,0,3,Yes,Home,0.8257882882882883,0
55,64547,525,316010,60,Self-employed,45436,0,4,Yes,Personal,0.7039211737183757,0
57,74620,822,737605,60,Self-employed,11569,8,1,No,Auto,0.15503886357544894,0
44,166389,821,487940,36,Self-employed,13029,9,1,No,Education,0.07830445522240052,0
49,135608,572,965113,12,Self-employed,22490,5,0,Yes,Home,0.16584567282166243,0
51,27564,701,645642,12,Salaried,45875,9,1,No,Auto,1.6643085183572777,0
55,178417,482,101374,36,Salaried,35328,7,1,Yes,Education,0.19800803735070088,0
53,133824,787,164397,12,Self-employed,5867,6,4,No,Auto,0.04384116451458632,0
41,99273,423,298552,24,Salaried,15284,5,3,No,Personal,0.15395928399464104,0
52,94859,713,436721,12,Salaried,33979,3,3,Yes,Personal,0.3582053363413066,0
43,130017,471,473332,36,Self-employed,9121,6,4,No,Personal,0.07015236469077121,0
53,143618,587,917461,36,Salaried,1539,8,1,Yes,Home,0.010715926972942111,0
23,145341,734,930006,24,Self-employed,25488,9,4,Yes,Education,0.17536689578302062,0
38,49430,412,987951,60,Salaried,17027,9,0,Yes,Personal,0.3444669229213029,0
45,47788,421,342575,36,Salaried,8693,6,3,No,Home,0.1819075918640663,0
51,199615,843,461124,24,Salaried,8921,0,2,Yes,Home,0.04469103023319891,0
23,164991,521,79336,12,Self-employed,10310,9,0,Yes,Home,0.06248825693522677,0
44,89346,338,877424,12,Salaried,45512,8,0,No,Home,0.5093904595617039,0
52,116122,796,105350,24,Salaried,30908,3,4,No,Personal,0.266168340193934,0
42,59974,532,643849,24,Self-employed,4386,2,1,No,Home,0.07313169039917297,0
43,127309,829,560470,36,Self-employed,32263,3,3,No,Personal,0.25342277450926487,0
22,36371,448,888387,12,Salaried,28412,3,2,No,Personal,0.7811718127079267,0
47,65084,696,111240,24,Self-employed,17303,9,0,No,Home,0.26585643168827977,1
22,180701,601,725453,12,Salaried,12242,1,2,Yes,Personal,0.0677472731196839,0
46,81916,659,449371,24,Salaried,47025,0,1,No,Education,0.5740636749841301,0
37,93972,537,620895,12,Self-employed,8947,9,1,Yes,Education,0.09520921125441621,0
53,32984,535,761028,60,Self-employed,46714,0,2,No,Auto,1.4162624302692215,0
29,53039,502,988467,36,Self-employed,5930,7,3,Yes,Education,0.11180452120138011,0
59,105431,555,231196,12,Salaried,38170,1,1,Yes,Personal,0.36203773083817853,0
49,103691,534,365014,60,Self-employed,48785,9,2,No,Personal,0.47048442005574254,0
46,78606,644,499763,12,Salaried,507,4,0,No,Education,0.0064498893214258455,0
55,161688,833,638398,12,Self-employed,1436,3,2,Yes,Home,0.00888130226114492,0
45,122665,765,234626,60,Salaried,27151,7,2,No,Home,0.22134268128643053,0
44,125373,840,726296,12,Self-employed,11618,1,4,No,Personal,0.09266748023896693,0
33,44574,512,429039,12,Salaried,8750,9,1,Yes,Home,0.19630277740386773,0
27,154502,762,578714,36,Self-employed,16122,8,3,Yes,Auto,0.10434816377781517,0
56,163748,735,794199,60,Salaried,7354,6,3,Yes,Auto,0.0449104721889733,0
40,161888,582,864038,60,Self-employed,44062,6,4,No,Education,0.2721758252619095,0
21,52733,762,491048,24,Self-employed,30979,0,3,No,Education,0.5874689473384788,0
28,22050,706,602439,12,Salaried,20900,1,2,No,Home,0.9478458049886621,0
36,129996,387,323452,36,Self-employed,13840,3,4,No,Personal,0.10646481430197852,0
