age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
33,Self-emp,HS-grad,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Male,23,Germany,32514
32,Government,PhD,Married,Craft-repair,Own-child,Black,Male,59,India,50270
64,Private,Bachelors,Single,Sales,Husband,Asian-Pac-Islander,Male,22,Mexico,28604
61,Government,Bachelors,Divorced,Tech-support,Unmarried,Asian-Pac-Islander,Male,48,India,61720
20,Unemployed,Some-college,Married,Other-service,Own-child,Other,Female,48,United-States,37300
54,Self-emp,PhD,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,53,Mexico,49630
24,Private,Bachelors,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Male,53,India,21713
38,Self-emp,PhD,Single,Other-service,Husband,Amer-Indian-Eskimo,Male,47,India,44092
26,Private,HS-grad,Divorced,Tech-support,Husband,Black,Male,32,India,32212
56,Government,Masters,Divorced,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,34,Mexico,15170
35,Private,Bachelors,Widowed,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,42,Philippines,58127
21,Unemployed,Some-college,Divorced,Craft-repair,Wife,White,Male,45,Mexico,74617
42,Unemployed,HS-grad,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Male,23,Germany,66942
31,Private,PhD,Widowed,Craft-repair,Wife,Other,Female,45,Mexico,60225
26,Private,HS-grad,Married,Sales,Own-child,Other,Male,59,India,43788
43,Private,Bachelors,Widowed,Sales,Husband,White,Male,28,United-States,62088
19,Private,PhD,Married,Other-service,Own-child,Black,Female,24,Mexico,68357
37,Unemployed,Masters,Single,Other-service,Unmarried,Black,Male,51,Mexico,52052
45,Self-emp,HS-grad,Married,Sales,Own-child,Amer-Indian-Eskimo,Female,39,India,32234
64,Private,Bachelors,Married,Sales,Own-child,Amer-Indian-Eskimo,Male,30,United-States,42509
24,Private,Some-college,Single,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,34,United-States,75540
61,Unemployed,PhD,Married,Craft-repair,Unmarried,Black,Female,51,Germany,48878
25,Unemployed,HS-grad,Widowed,Other-service,Own-child,Asian-Pac-Islander,Female,47,Mexico,128
64,Government,HS-grad,Married,Tech-support,Wife,Other,Male,41,United-States,27966
52,Private,Masters,Single,Sales,Unmarried,Asian-Pac-Islander,Female,36,United-States,43633
31,Government,Masters,Widowed,Craft-repair,Own-child,Asian-Pac-Islander,Male,45,Philippines,65537
34,Unemployed,Some-college,Single,Other-service,Unmarried,Black,Male,26,Philippines,45903
53,Unemployed,Some-college,Single,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,45,United-States,65816
57,Self-emp,Bachelors,Divorced,Sales,Wife,White,Male,44,Germany,42107
21,Private,Bachelors,Divorced,Sales,Own-child,Amer-Indian-Eskimo,Male,29,United-States,20535
19,Government,Some-college,Single,Exec-managerial,Not-in-family,White,Female,38,India,42626
23,Unemployed,Some-college,Single,Tech-support,Not-in-family,Other,Female,30,Mexico,55174
59,Unemployed,PhD,Single,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,32,Germany,53929
21,Government,Masters,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Female,27,India,31173
46,Self-emp,Bachelors,Divorced,Craft-repair,Wife,Other,Female,59,Germany,44732
35,Unemployed,Masters,Married,Other-service,Wife,Amer-Indian-Eskimo,Female,23,India,90270
43,Private,Masters,Married,Sales,Husband,Asian-Pac-Islander,Female,50,Mexico,31500
61,Unemployed,Some-college,Single,Exec-managerial,Wife,White,Male,47,Mexico,59910
51,Private,PhD,Widowed,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,30,Philippines,18549
27,Government,HS-grad,Widowed,Exec-managerial,Wife,Asian-Pac-Islander,Male,20,India,62956
53,Private,PhD,Divorced,Other-service,Unmarried,White,Female,57,Philippines,36615
31,Government,PhD,Divorced,Sales,Husband,Other,Female,43,India,56031
48,Private,Masters,Divorced,Craft-repair,Not-in-family,Other,Female,50,Philippines,30627
32,Government,PhD,Single,Craft-repair,Husband,Other,Female,45,Mexico,54362
25,Private,Bachelors,Widowed,Other-service,Not-in-family,Other,Female,24,Germany,36370
31,Self-emp,Masters,Married,Exec-managerial,Unmarried,Black,Female,39,Philippines,39274
40,Private,Bachelors,Single,Tech-support,Husband,Amer-Indian-Eskimo,Female,30,India,56629
57,Private,HS-grad,Married,Other-service,Own-child,Amer-Indian-Eskimo,Male,52,India,43544
38,Self-emp,Masters,Married,Other-service,Not-in-family,Black,Male,57,Mexico,55705
33,Unemployed,HS-grad,Single,Sales,Own-child,Asian-Pac-Islander,Female,46,India,47137
62,Unemployed,Masters,Married,Craft-repair,Husband,Asian-Pac-Islander,Female,53,United-States,51012
35,Private,Some-college,Widowed,Other-service,Own-child,Other,Female,34,Germany,56676
64,Self-emp,PhD,Married,Other-service,Own-child,White,Male,51,Philippines,44749
41,Private,Some-college,Widowed,Exec-managerial,Husband,Asian-Pac-Islander,Male,40,Germany,35059
43,Government,HS-grad,Widowed,Exec-managerial,Unmarried,White,Female,24,Mexico,42015
42,Government,PhD,Widowed,Tech-support,Own-child,Amer-Indian-Eskimo,Female,25,Philippines,67927
62,Private,Masters,Divorced,Sales,Own-child,White,Male,57,Philippines,51742
58,Unemployed,PhD,Married,Tech-support,Unmarried,Amer-Indian-Eskimo,Male,41,United-States,37326
46,Unemployed,Bachelors,Single,Exec-managerial,Own-child,Black,Male,37,Mexico,56023
32,Private,PhD,Single,Craft-repair,Own-child,Black,Male,33,India,57024
62,Private,Bachelors,Married,Exec-managerial,Own-child,Other,Female,29,United-States,57799
18,Government,PhD,Divorced,Sales,Wife,Asian-Pac-Islander,Male,32,United-States,35332
42,Unemployed,Bachelors,Divorced,Exec-managerial,Unmarried,Other,Male,50,Germany,39764
24,Private,HS-grad,Widowed,Sales,Own-child,Amer-Indian-Eskimo,Female,49,Germany,39847
26,Government,Some-college,Married,Sales,Unmarried,Other,Male,22,Germany,44590
41,Unemployed,Masters,Married,Sales,Not-in-family,White,Male,49,United-States,58083
18,Self-emp,PhD,Single,Sales,Not-in-family,Amer-Indian-Eskimo,Male,25,India,54442
61,Government,Some-college,Married,Sales,Own-child,Black,Female,48,Philippines,55628
25,Unemployed,Masters,Divorced,Craft-repair,Unmarried,Asian-Pac-Islander,Male,27,Germany,70310
41,Unemployed,Masters,Married,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,52,India,60333
28,Government,Bachelors,Single,Other-service,Unmarried,Amer-Indian-Eskimo,Female,36,Mexico,47872
34,Self-emp,HS-grad,Widowed,Tech-support,Wife,White,Male,30,Germany,32241
25,Government,HS-grad,Single,Sales,Not-in-family,Asian-Pac-Islander,Male,32,Philippines,39281
52,Unemployed,Some-college,Single,Craft-repair,Unmarried,Black,Male,30,Mexico,46074
52,Private,HS-grad,Widowed,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,50,Mexico,62436
50,Private,PhD,Single,Craft-repair,Wife,Amer-Indian-Eskimo,Female,47,Philippines,49590
22,Government,HS-grad,Single,Sales,Wife,White,Male,25,Germany,40157
59,Unemployed,Some-college,Married,Craft-repair,Unmarried,Other,Male,35,United-States,39006
56,Private,HS-grad,Married,Craft-repair,Husband,Black,Male,23,Philippines,48956
58,Unemployed,PhD,Widowed,Sales,Unmarried,Asian-Pac-Islander,Female,54,Philippines,63349
45,Government,Bachelors,Married,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,45,Philippines,73865
24,Private,Some-college,Married,Other-service,Wife,Amer-Indian-Eskimo,Male,31,Mexico,46913
26,Unemployed,Bachelors,Single,Other-service,Wife,Black,Female,30,India,49328
25,Private,Bachelors,Divorced,Craft-repair,Unmarried,Other,Female,56,United-States,31790
29,Government,Bachelors,Married,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,44,Germany,79087
51,Unemployed,Masters,Divorced,Sales,Unmarried,Black,Male,37,Germany,28984
50,Private,Masters,Married,Other-service,Wife,White,Male,38,India,67574
40,Government,Bachelors,Married,Exec-managerial,Unmarried,Other,Male,42,Philippines,44519
41,Private,Some-college,Widowed,Craft-repair,Unmarried,Asian-Pac-Islander,Male,57,United-States,41009
54,Private,PhD,Widowed,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,37,Germany,33349
52,Self-emp,PhD,Widowed,Tech-support,Husband,Black,Female,45,Germany,86150
61,Self-emp,HS-grad,Divorced,Other-service,Not-in-family,White,Male,25,Philippines,53322
57,Government,Some-college,Single,Craft-repair,Husband,Asian-Pac-Islander,Male,23,India,50319
39,Self-emp,Masters,Married,Sales,Own-child,Black,Female,48,United-States,63300
44,Government,Bachelors,Married,Craft-repair,Not-in-family,Black,Male,53,India,40237
52,Self-emp,HS-grad,Married,Sales,Unmarried,Asian-Pac-Islander,Male,36,India,50027
18,Private,PhD,Divorced,Craft-repair,Own-child,White,Male,35,United-States,50845
52,Government,Masters,Widowed,Exec-managerial,Unmarried,White,Male,21,United-States,42317
54,Government,Masters,Single,Exec-managerial,Wife,Other,Male,53,Germany,67994
64,Private,Bachelors,Divorced,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,27,Germany,46720
31,Government,PhD,Widowed,Tech-support,Wife,Asian-Pac-Islander,Male,32,United-States,26703
20,Government,Some-college,Divorced,Sales,Own-child,Asian-Pac-Islander,Male,27,Mexico,45477
18,Self-emp,Masters,Single,Exec-managerial,Own-child,Asian-Pac-Islander,Male,49,Germany,53737
22,Government,Bachelors,Widowed,Tech-support,Wife,White,Female,51,Mexico,36597
43,Unemployed,Some-college,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Female,55,United-States,37781
31,Private,PhD,Single,Craft-repair,Husband,Other,Female,49,Germany,41806
56,Self-emp,Masters,Married,Tech-support,Unmarried,Black,Female,20,India,68318
44,Self-emp,Some-college,Single,Other-service,Own-child,Black,Male,58,United-States,42692
26,Unemployed,Some-college,Married,Tech-support,Unmarried,Asian-Pac-Islander,Female,36,Philippines,71436
32,Private,Some-college,Divorced,Tech-support,Wife,Amer-Indian-Eskimo,Male,39,Mexico,40775
32,Private,Masters,Widowed,Sales,Unmarried,White,Male,43,United-States,54875
43,Self-emp,Masters,Widowed,Craft-repair,Wife,Amer-Indian-Eskimo,Female,41,United-States,43306
59,Government,HS-grad,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Female,48,Germany,61311
30,Self-emp,PhD,Widowed,Exec-managerial,Husband,White,Female,41,Germany,33225
49,Private,Bachelors,Widowed,Exec-managerial,Husband,Asian-Pac-Islander,Female,28,Germany,61142
56,Unemployed,Some-college,Married,Tech-support,Husband,Amer-Indian-Eskimo,Female,56,Philippines,51708
49,Self-emp,HS-grad,Divorced,Sales,Husband,Black,Male,29,Germany,40400
21,Private,Bachelors,Single,Sales,Husband,White,Female,55,United-States,47506
47,Self-emp,HS-grad,Married,Exec-managerial,Husband,Other,Female,56,Germany,73007
54,Government,Masters,Divorced,Other-service,Wife,Asian-Pac-Islander,Female,47,India,52067
40,Self-emp,Some-college,Married,Craft-repair,Own-child,White,Male,47,Germany,39459
56,Self-emp,Bachelors,Single,Other-service,Unmarried,Other,Female,40,Philippines,31929
62,Private,Bachelors,Single,Craft-repair,Husband,Other,Male,43,India,57581
32,Private,Bachelors,Divorced,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,59,United-States,52937
60,Private,Bachelors,Single,Craft-repair,Wife,Amer-Indian-Eskimo,Female,21,United-States,60425
46,Self-emp,Bachelors,Married,Sales,Wife,Amer-Indian-Eskimo,Male,27,Mexico,28066
53,Government,HS-grad,Single,Tech-support,Own-child,White,Female,46,India,32416
30,Unemployed,Some-college,Married,Tech-support,Unmarried,White,Male,41,Mexico,67203
49,Unemployed,Masters,Married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,56,India,54970
24,Private,Masters,Single,Sales,Not-in-family,Amer-Indian-Eskimo,Male,46,India,58001
39,Private,Masters,Divorced,Other-service,Wife,Other,Female,48,Philippines,35559
45,Self-emp,Masters,Widowed,Sales,Not-in-family,Black,Female,22,Mexico,35285
19,Unemployed,HS-grad,Single,Tech-support,Husband,Asian-Pac-Islander,Female,32,Philippines,64868
59,Private,PhD,Married,Tech-support,Husband,White,Male,29,India,65575
62,Government,Some-college,Married,Sales,Own-child,Asian-Pac-Islander,Female,55,United-States,33675
23,Government,Bachelors,Single,Sales,Unmarried,Asian-Pac-Islander,Male,28,India,30809
45,Private,PhD,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Female,46,Philippines,48371
45,Private,Masters,Divorced,Other-service,Unmarried,Asian-Pac-Islander,Male,53,Mexico,38009
61,Unemployed,PhD,Married,Exec-managerial,Own-child,Black,Male,20,Mexico,37697
61,Unemployed,Some-college,Married,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,51,Philippines,31229
37,Self-emp,Bachelors,Divorced,Sales,Unmarried,Other,Female,44,Mexico,42973
47,Unemployed,Bachelors,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,48,Germany,32679
28,Government,Some-college,Single,Tech-support,Husband,Asian-Pac-Islander,Male,26,United-States,33568
45,Government,Some-college,Married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,22,United-States,54475
42,Private,Masters,Married,Sales,Husband,Amer-Indian-Eskimo,Male,39,United-States,49172
56,Unemployed,Bachelors,Divorced,Sales,Unmarried,White,Male,39,Mexico,57273
50,Self-emp,PhD,Single,Sales,Not-in-family,White,Male,49,Mexico,25264
18,Government,HS-grad,Divorced,Other-service,Not-in-family,Black,Female,54,India,50148
44,Government,HS-grad,Single,Exec-managerial,Husband,White,Female,54,India,81134
30,Self-emp,Some-college,Single,Sales,Unmarried,Asian-Pac-Islander,Male,58,United-States,44415
58,Self-emp,Masters,Single,Craft-repair,Own-child,Asian-Pac-Islander,Female,46,Germany,62371
20,Government,HS-grad,Married,Craft-repair,Unmarried,Asian-Pac-Islander,Female,45,India,62240
56,Government,Bachelors,Widowed,Tech-support,Wife,Black,Male,33,India,62977
23,Self-emp,Some-college,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Male,36,Mexico,52499
25,Government,PhD,Widowed,Sales,Not-in-family,White,Male,37,Germany,58491
44,Private,Some-college,Divorced,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,48,United-States,60485
26,Private,PhD,Single,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,39,India,59531
54,Self-emp,Some-college,Married,Tech-support,Not-in-family,Other,Female,46,Germany,33238
50,Unemployed,Some-college,Widowed,Other-service,Own-child,White,Male,37,Germany,24389
59,Self-emp,Some-college,Married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,23,United-States,26696
61,Self-emp,PhD,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,20,Germany,45947
41,Unemployed,PhD,Married,Other-service,Wife,White,Male,20,Germany,58908
32,Unemployed,Some-college,Married,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,45,Germany,33433
49,Unemployed,HS-grad,Widowed,Tech-support,Unmarried,Asian-Pac-Islander,Female,39,India,63859
49,Private,Masters,Single,Tech-support,Wife,Amer-Indian-Eskimo,Female,42,United-States,42465
41,Government,Masters,Married,Other-service,Own-child,Other,Female,29,Germany,42608
58,Private,Masters,Single,Sales,Husband,Other,Female,30,Germany,37458
29,Government,PhD,Divorced,Craft-repair,Husband,Amer-Indian-Eskimo,Female,24,India,21728
56,Private,PhD,Married,Sales,Husband,White,Male,20,United-States,53439
19,Government,HS-grad,Widowed,Exec-managerial,Wife,White,Female,36,Mexico,75690
20,Private,Masters,Divorced,Craft-repair,Wife,White,Male,41,India,49060
54,Unemployed,Masters,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,53,United-States,22240
34,Self-emp,Some-college,Widowed,Other-service,Husband,White,Female,48,Germany,61705
19,Private,PhD,Married,Craft-repair,Own-child,Asian-Pac-Islander,Male,23,United-States,25628
19,Government,Masters,Married,Tech-support,Own-child,Other,Female,24,United-States,31864
45,Unemployed,HS-grad,Divorced,Craft-repair,Husband,Asian-Pac-Islander,Female,30,United-States,46424
40,Private,HS-grad,Married,Exec-managerial,Husband,White,Male,40,Mexico,51842
54,Private,Masters,Single,Tech-support,Husband,Asian-Pac-Islander,Male,54,United-States,34870
49,Unemployed,PhD,Widowed,Other-service,Wife,White,Female,31,Mexico,45840
50,Private,HS-grad,Single,Craft-repair,Wife,Amer-Indian-Eskimo,Female,45,Germany,60727
18,Self-emp,Some-college,Married,Sales,Wife,Asian-Pac-Islander,Male,38,Mexico,62782
36,Private,HS-grad,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Male,26,Germany,68771
19,Self-emp,Bachelors,Widowed,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,26,Germany,78641
61,Self-emp,Bachelors,Married,Sales,Own-child,Black,Male,45,Mexico,62148
43,Unemployed,PhD,Married,Craft-repair,Not-in-family,White,Female,59,India,46748
49,Private,Masters,Divorced,Craft-repair,Wife,Other,Female,24,Philippines,62889
23,Unemployed,PhD,Divorced,Sales,Unmarried,White,Female,40,United-States,57000
49,Private,PhD,Single,Craft-repair,Unmarried,Other,Female,33,Philippines,57595
21,Private,PhD,Widowed,Exec-managerial,Own-child,White,Male,23,United-States,52658
28,Government,PhD,Widowed,Tech-support,Wife,Amer-Indian-Eskimo,Male,42,United-States,36319
34,Private,Some-college,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,39,Germany,34578
55,Unemployed,Some-college,Single,Exec-managerial,Wife,Asian-Pac-Islander,Female,34,United-States,48543
41,Self-emp,HS-grad,Widowed,Craft-repair,Husband,Black,Female,48,United-States,52233
22,Private,Bachelors,Divorced,Tech-support,Wife,Other,Female,27,Mexico,39808
51,Government,PhD,Married,Craft-repair,Husband,Other,Female,38,Philippines,56350
23,Unemployed,HS-grad,Widowed,Other-service,Husband,Other,Female,58,Mexico,81211
39,Private,Bachelors,Single,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Female,47,United-States,23835
28,Unemployed,Masters,Single,Craft-repair,Own-child,Other,Female,46,Germany,58733
33,Government,Some-college,Single,Craft-repair,Wife,Asian-Pac-Islander,Female,23,Mexico,49010
50,Government,Bachelors,Married,Tech-support,Husband,Amer-Indian-Eskimo,Male,34,Mexico,56759
26,Unemployed,Masters,Widowed,Craft-repair,Wife,White,Female,54,India,43539
23,Private,Bachelors,Widowed,Tech-support,Own-child,Other,Male,56,United-States,47809
33,Self-emp,Some-college,Married,Sales,Own-child,Other,Male,20,Germany,51942
46,Government,Some-college,Widowed,Other-service,Unmarried,White,Female,22,Mexico,45475
20,Private,HS-grad,Married,Tech-support,Own-child,Other,Female,43,Mexico,27191
37,Private,PhD,Married,Sales,Not-in-family,White,Male,46,Germany,46491
53,Self-emp,Bachelors,Married,Tech-support,Husband,Amer-Indian-Eskimo,Male,59,United-States,28753
36,Government,Bachelors,Single,Tech-support,Unmarried,Asian-Pac-Islander,Female,55,India,59797
43,Government,Masters,Widowed,Other-service,Not-in-family,White,Male,53,Mexico,22016
20,Private,Some-college,Married,Exec-managerial,Wife,Black,Female,48,India,65429
36,Private,Bachelors,Widowed,Exec-managerial,Husband,White,Female,43,Philippines,56443
37,Self-emp,Some-college,Single,Tech-support,Own-child,Other,Female,43,United-States,56500
49,Self-emp,Bachelors,Married,Craft-repair,Husband,Amer-Indian-Eskimo,Male,23,Philippines,17535
24,Government,HS-grad,Divorced,Sales,Wife,Amer-Indian-Eskimo,Male,22,Philippines,45071
58,Unemployed,PhD,Single,Craft-repair,Unmarried,White,Female,53,Philippines,67303
50,Government,Bachelors,Divorced,Craft-repair,Unmarried,Asian-Pac-Islander,Male,42,United-States,42220
57,Private,Some-college,Widowed,Tech-support,Unmarried,Black,Male,42,United-States,33829
56,Government,HS-grad,Widowed,Tech-support,Own-child,Amer-Indian-Eskimo,Male,24,Germany,40449
35,Unemployed,Bachelors,Single,Tech-support,Not-in-family,Other,Male,50,India,48975
57,Self-emp,Masters,Widowed,Tech-support,Not-in-family,Other,Male,25,India,37229
18,Unemployed,PhD,Divorced,Exec-managerial,Husband,Asian-Pac-Islander,Male,56,Germany,68507
28,Unemployed,Bachelors,Married,Tech-support,Own-child,Amer-Indian-Eskimo,Male,29,Germany,49029
45,Unemployed,HS-grad,Married,Exec-managerial,Unmarried,White,Female,59,Philippines,41666
42,Self-emp,Masters,Married,Exec-managerial,Unmarried,Other,Male,26,Germany,30479
40,Unemployed,HS-grad,Single,Tech-support,Wife,Asian-Pac-Islander,Male,58,Mexico,57266
48,Unemployed,HS-grad,Widowed,Other-service,Wife,Amer-Indian-Eskimo,Male,57,India,56924
47,Unemployed,Masters,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Male,40,Germany,38116
59,Private,HS-grad,Widowed,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,39,Mexico,16455
52,Unemployed,Masters,Widowed,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,22,Mexico,56161
24,Self-emp,Bachelors,Widowed,Sales,Not-in-family,Amer-Indian-Eskimo,Male,41,Mexico,47197
33,Unemployed,Masters,Married,Other-service,Wife,Other,Male,23,Mexico,55041
43,Unemployed,Masters,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,47,Philippines,79357
19,Self-emp,PhD,Divorced,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,31,Mexico,49597
18,Unemployed,Masters,Widowed,Exec-managerial,Unmarried,Black,Male,57,Philippines,42292
29,Self-emp,Masters,Married,Tech-support,Not-in-family,Black,Male,55,Philippines,32790
22,Unemployed,Bachelors,Married,Other-service,Unmarried,Asian-Pac-Islander,Male,24,Mexico,45313
54,Self-emp,PhD,Divorced,Exec-managerial,Unmarried,White,Female,32,India,52408
49,Unemployed,Some-college,Married,Other-service,Husband,White,Female,42,Mexico,50799
26,Unemployed,Bachelors,Married,Tech-support,Not-in-family,White,Female,49,Mexico,75851
58,Private,Bachelors,Married,Tech-support,Not-in-family,Black,Female,56,Mexico,57486
52,Private,Some-college,Single,Exec-managerial,Unmarried,White,Female,44,India,47977
36,Unemployed,Masters,Widowed,Tech-support,Own-child,Other,Female,46,United-States,39401
33,Unemployed,HS-grad,Divorced,Sales,Husband,Amer-Indian-Eskimo,Female,33,United-States,54000
20,Government,PhD,Divorced,Craft-repair,Unmarried,Black,Female,55,Philippines,36394
37,Self-emp,HS-grad,Single,Exec-managerial,Wife,Asian-Pac-Islander,Female,58,Philippines,52697
41,Government,Some-college,Widowed,Other-service,Wife,Asian-Pac-Islander,Female,35,India,57311
50,Private,Bachelors,Divorced,Sales,Husband,Amer-Indian-Eskimo,Female,41,Germany,46753
41,Private,Bachelors,Married,Exec-managerial,Own-child,Black,Female,40,United-States,40545
28,Private,PhD,Divorced,Tech-support,Unmarried,White,Female,40,Philippines,17220
25,Private,Bachelors,Married,Tech-support,Not-in-family,White,Female,27,United-States,67157
53,Unemployed,Bachelors,Single,Tech-support,Husband,Other,Female,35,India,56049
55,Private,PhD,Married,Tech-support,Own-child,Other,Female,50,India,56414
57,Unemployed,PhD,Divorced,Other-service,Not-in-family,White,Male,29,Germany,26579
37,Unemployed,Some-college,Divorced,Sales,Wife,Asian-Pac-Islander,Female,51,Germany,70697
52,Private,Bachelors,Divorced,Craft-repair,Wife,Asian-Pac-Islander,Male,53,India,43021
42,Private,Bachelors,Single,Other-service,Not-in-family,Other,Female,28,Philippines,45668
52,Self-emp,Some-college,Single,Other-service,Husband,Amer-Indian-Eskimo,Female,36,United-States,33960
42,Government,Masters,Widowed,Craft-repair,Wife,White,Male,30,Mexico,23195
46,Private,Masters,Divorced,Craft-repair,Unmarried,Other,Female,51,Germany,67360
35,Self-emp,Masters,Married,Tech-support,Not-in-family,Other,Male,29,Mexico,69298
63,Self-emp,Some-college,Single,Other-service,Not-in-family,White,Male,41,Philippines,47517
35,Government,Bachelors,Divorced,Exec-managerial,Wife,White,Male,36,Germany,39809
19,Unemployed,Some-college,Divorced,Craft-repair,Husband,Asian-Pac-Islander,Female,23,Mexico,44344
52,Private,Some-college,Single,Craft-repair,Unmarried,Amer-Indian-Eskimo,Female,44,Philippines,44755
33,Government,Masters,Widowed,Sales,Husband,Amer-Indian-Eskimo,Female,40,United-States,32002
58,Private,HS-grad,Single,Exec-managerial,Own-child,White,Male,56,Philippines,45616
53,Self-emp,Bachelors,Single,Exec-managerial,Own-child,Black,Male,57,Germany,52296
50,Self-emp,Masters,Married,Craft-repair,Wife,Other,Female,20,India,65272
21,Unemployed,HS-grad,Married,Tech-support,Wife,Other,Female,44,United-States,50213
